INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-1251,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1264,21,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1263,21,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1262,20,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1261,20,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1259,20,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1257,19,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1256,19,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1265,21,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1255,20,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-13,19,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1253,24,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1635,20,,8D,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1273,18,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-14,22,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1271,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1,21,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1270,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1274,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-23,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-2,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-25,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1272,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-6,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-29,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-17,22,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-7,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-31,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1269,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-12,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-35,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1636,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-88,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-36,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-21,20,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-49,19,,8E,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1225,19,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1221,23,,8F,,#N/A,,,,,,,0,#N/A,"8,0",#N/A,#N/A,10
,Aluno-26,19,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
