NOME,FASE_2023,TURMA_2023,INSTITUICAO_ENSINO_ALUNO_2023,PEDRA_2023,INDE_2023,IAA_2023,IEG_2023,IPS_2023,IDA_2023,IPP_2023,PONTO_VIRADA_2023,IPV_2023,IAN_2023,NIVEL_IDEAL_2023,DEFASAGEM_2023
Aluno-1067,FASE 1,1N,Pública,Agata,"6,541458333","0,0","7,9","7,52","5,4",,,"9,01",5,Fase 2 (5° e 6° ano),-1
Aluno-834,FASE 1,1N,Pública,Topázio,"8,662616667","9,0","9,9","6,27","9,2",,,"9,28",5,Fase 2 (5° e 6° ano),-1
Aluno-722,FASE 1,1N,Pública,Ametista,"7,3387","8,5","9,6","2,52","6,4",,,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-1068,FASE 1,1P,Pública,Topázio,"8,472533333","8,5","9,3","6,89","9,0",,,"9,28",5,Fase 2 (5° e 6° ano),-1
Aluno-796,FASE 1,1P,Pública,Ametista,"7,462866667","9,0","9,8","6,27","5,5",,,"8,34",5,Fase 2 (5° e 6° ano),-1
Aluno-1069,FASE 1,1P,Pública,Ametista,"7,590033333","9,0","7,8","7,52","7,1",,,"8,23",5,Fase 2 (5° e 6° ano),-1
Aluno-797,FASE 1,1P,Pública,Ametista,"7,373033333","8,5","8,6","7,52","7,5",,,"7,23",5,Fase 2 (5° e 6° ano),-1
Aluno-647,FASE 1,1P,Privada - Programa de Apadrinhamento,Ametista,"7,100566667","7,3","8,7","6,27","5,2",,,"8,45",5,Fase 2 (5° e 6° ano),-1
Aluno-814,FASE 1,1P,Pública,Topázio,"8,367866667","9,5","9,6","6,89","8,2",,,"9,23",5,Fase 2 (5° e 6° ano),-1
Aluno-652,FASE 1,1P,Pública,Ametista,"7,871033333","9,0","9,4","6,89","7,0",,,"8,45",5,Fase 2 (5° e 6° ano),-1
Aluno-816,FASE 1,1P,Pública,Topázio,"8,5572","7,5","9,8","7,52","8,9",,,"9,28",5,Fase 2 (5° e 6° ano),-1
Aluno-640,FASE 1,1P,Pública,Agata,"6,1105","0,0","7,3","7,52","4,9",,,"8,45",5,Fase 3 (7° e 8° ano),-2
Aluno-810,FASE 1,1P,Pública,Ametista,"7,782866667","8,0","8,5","7,52","6,9",,,"7,84",1900-01-09 00:00:00,Fase 1 (3° e 4° ano),0
Aluno-643,FASE 1,1P,Pública,Ametista,"7,389033333","9,5","8,2","7,52","7,1",,,"7,61",5,Fase 2 (5° e 6° ano),-1
Aluno-819,FASE 1,1P,Pública,Ametista,"7,944833333","0,0","8,3","7,52","9,5",,,"8,89",10,Fase 1 (3° e 4° ano),0
Aluno-1070,FASE 1,1P,Pública,Agata,"6,939033333","9,0","7,8","3,14","5,8",,,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-813,FASE 1,1R,Pública,Ametista,"7,5867","9,5","8,4","7,52","3,9",,,"8,06",10,Fase 1 (3° e 4° ano),0
Aluno-636,FASE 1,1R,Pública,Agata,"6,836666667","0,0","8,3","5,64","9,0",,,"7,45",5,Fase 2 (5° e 6° ano),-1
Aluno-798,FASE 1,1R,Privada - Programa de Apadrinhamento,Ametista,"7,018033333","9,0","8,1","7,52","6,1",,,"6,95",5,Fase 2 (5° e 6° ano),-1
Aluno-799,FASE 1,1R,Pública,Topázio,"8,061533333","9,5","9,6","5,64","8,3",,,"8,17",5,Fase 2 (5° e 6° ano),-1
Aluno-815,FASE 1,1R,Pública,Agata,"6,122166667","0,0","8,6","5,02","6,5",,,"7,06",1900-01-04 00:00:00,Fase 2 (5° e 6° ano),-1
Aluno-637,FASE 1,1R,Pública,Topázio,"8,109533333","8,0","9,5","7,52","8,5",,,"8,17",5,Fase 2 (5° e 6° ano),-1
Aluno-638,FASE 1,1R,Pública,Ametista,"7,754866667","9,0","9,4","7,52","6,5",,,"7,95","5,00",Fase 2 (5° e 6° ano),-1
Aluno-801,FASE 1,1R,Pública,Agata,"6,8735","0,0","7,5","7,52","7,6",,,"7,12","10,00",Fase 1 (3° e 4° ano),0
Aluno-802,FASE 1,1R,Pública,Topázio,"8,126866667","8,0","9,3","7,52","9,4",,,"7,51","5,00",Fase 2 (5° e 6° ano),-1
Aluno-1071,FASE 1,1R,Pública,Agata,"6,414033333","9,0","8,6","7,52","3,5",,,"6,40","5,00",Fase 2 (5° e 6° ano),-1
Aluno-817,FASE 1,1R,Pública,Ametista,"7,8597","9,5","8,8","6,89","5,4",,,"7,89","10,00",Fase 1 (3° e 4° ano),0
Aluno-818,FASE 1,1R,Pública,Ametista,"7,997366667","10,0","8,4","7,52","6,2",,,"7,61","10,00",ALFA (1° e 2° ano),1
Aluno-804,FASE 1,1R,Pública,Ametista,"7,2352","10,0","8,6","6,27","6,9",,,"7,17","5,00",Fase 2 (5° e 6° ano),-1
Aluno-645,FASE 1,1R,Pública,Ametista,"7,613033333","9,0","8,5","6,27","7,3",,,"8,12","5,00",Fase 2 (5° e 6° ano),-1
Aluno-479,FASE 2,2A,Privada - Programa de Apadrinhamento,Topázio,"8,988866667","9,0","10,0","2,52","9,7",,,"9,64","10,00",Fase 2 (5° e 6° ano),0
Aluno-493,FASE 2,2A,Pública,Ametista,"7,934366667","9,5","9,6","2,52","6,0",,,"8,84","10,00",Fase 2 (5° e 6° ano),0
Aluno-1072,FASE 2,2A,Pública,Topázio,"8,0152","9,0","8,6","5,00","6,7",,,"8,71","10,00",Fase 2 (5° e 6° ano),0
Aluno-536,FASE 2,2A,Pública,Ametista,"7,759533333","8,0","9,3","2,52","5,9",,,"9,17","10,00",Fase 2 (5° e 6° ano),0
Aluno-1073,FASE 2,2A,Pública,Agata,"6,384333333","0,0","8,8","2,52","6,2",,,"9,05","5,00",Fase 3 (7° e 8° ano),-1
Aluno-494,FASE 2,2A,Privada,Ametista,"7,116633333","6,9","9,0","2,52","6,8",,,"8,71","5,00",Fase 3 (7° e 8° ano),-1
Aluno-496,FASE 2,2A,Privada,Agata,"6,603666667","0,0","7,1","5,00","8,3",,,"8,71","5,00",Fase 3 (7° e 8° ano),-1
Aluno-497,FASE 2,2A,Privada - Programa de apadrinhamento,Quartzo,"5,7191","5,3","8,7","2,52","3,5",,,"6,89","5,00",Fase 4 (9° ano),-2
Aluno-1074,FASE 2,2A,Pública,Agata,"6,195833333","0,0","9,8","2,52","6,0",,,"7,88",5,Fase 3 (7° e 8° ano),-1
Aluno-486,FASE 2,2A,Privada,Ametista,"7,1043","8,4","6,4","2,52","6,2",,,"8,75",10,Fase 2 (5° e 6° ano),0
Aluno-1075,FASE 2,2A,Pública,Agata,"6,591333333","0,0","9,6","5,00","5,5",,,"9,00",5,Fase 3 (7° e 8° ano),-1
Aluno-578,FASE 2,2A,Privada - Programa de Apadrinhamento,Topázio,"9,013866667","9,0","10,0","2,52","9,7",,,"9,76",10,Fase 2 (5° e 6° ano),0
Aluno-513,FASE 2,2A,Privada,Topázio,"8,297866667","9,5","9,7","2,52","7,5",,,"9,01",10,Fase 2 (5° e 6° ano),0
Aluno-487,FASE 2,2A,Privada - Programa de Apadrinhamento,Topázio,"8,988866667","8,5","9,9","5,00","9,5",,,"9,26",10,Fase 2 (5° e 6° ano),0
